Date,City,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h)
2020-01-14,Nagpur,23.6,52.64,0.21,14.38
2020-01-14,Nashik,19.26,62.58,0.01,13.4
2020-01-14,Aurangabad,20.25,57.82,0.83,8.03
2020-01-14,Solapur,25.44,68.42,1.97,9.7
2020-01-14,Kolhapur,17.71,53.96,1.76,10.38
2020-01-14,Amravati,21.21,78.22,0.1,10.4
2020-01-15,Mumbai,18.78,62.3,0.3,12.25
2020-01-15,Pune,15.52,58.51,0.97,15.03
2020-01-15,Nagpur,18.91,73.04,1.53,5.83
2020-01-15,Nashik,19.84,76.26,1.46,21.71
2020-01-15,Aurangabad,18.26,69.02,1.23,16.15
2020-01-15,Solapur,23.34,65.84,0.7,12.35
2020-01-15,Kolhapur,16.99,66.05,0.13,18.55
2020-01-15,Amravati,21.96,79.7,0.94,9.89
2020-01-16,Mumbai,17.98,59.51,0.33,7.8
2020-01-16,Pune,18.42,52.57,0.96,10.21
2020-01-16,Nagpur,22.91,60.82,0.93,21.41
2020-01-16,Nashik,19.03,53.46,1.76,11.43
2020-01-16,Aurangabad,18.81,73.18,0.89,10.08
2020-01-16,Solapur,22.36,69.35,0.09,19.05
2020-01-16,Kolhapur,22.56,55.11,1.18,14.24
2020-01-16,Amravati,22.52,76.29,1.81,22.12
2020-01-17,Mumbai,18.26,62.71,0.29,9.29
2020-01-17,Pune,18.48,58.05,1.2,23.8
2020-01-17,Nagpur,21.01,78.52,0.4,17.4
2020-01-17,Nashik,18.82,53.45,0.58,17.48
2020-01-17,Aurangabad,19.29,77.17,1.05,7.55
2020-01-17,Solapur,23.06,65.89,0.79,9.98
2020-01-17,Kolhapur,20.67,61.01,0.89,24.72
2020-01-17,Amravati,19.67,76.15,0.09,18.54
2020-01-18,Mumbai,19.2,65.98,1.95,10.81
2020-01-18,Pune,16.39,68.08,1.88,18.95
2020-01-18,Nagpur,18.22,70.39,1.99,13.88
2020-01-18,Nashik,16.68,68.21,1.47,21.75
2020-01-18,Aurangabad,21.64,60.35,0.16,18.43
2020-01-18,Solapur,21.96,75.14,0.49,19.17
2020-01-18,Kolhapur,21.12,59.22,0.02,18.6
2020-01-18,Amravati,22.78,61.27,1.35,22.84
2020-01-19,Mumbai,19.2,57.32,1.91,9.91
2020-01-19,Pune,18.27,70.9,0.95,15.96
2020-01-19,Nagpur,26.6,64.98,1.0,5.64
2020-01-19,Nashik,18.29,70.9,1.63,17.06
2020-01-19,Aurangabad,19.53,63.07,0.12,18.11
2020-01-19,Solapur,21.39,79.39,0.7,24.25
2020-01-19,Kolhapur,17.87,79.24,0.8,6.31
2020-01-19,Amravati,22.25,69.34,1.39,14.87
2020-01-20,Mumbai,19.74,65.98,1.87,5.51
2020-01-20,Pune,17.67,50.97,1.29,11.83
2020-01-20,Nagpur,22.44,55.08,1.82,21.96
2020-01-20,Nashik,16.09,58.79,1.62,23.73
2020-01-20,Aurangabad,24.28,52.74,1.34,8.72
2020-01-20,Solapur,23.53,61.79,1.33,23.25
2020-01-20,Kolhapur,19.4,50.43,1.9,16.54
2020-01-20,Amravati,23.08,73.88,0.34,7.1
2020-01-21,Mumbai,21.7,68.72,0.01,6.67
2020-01-21,Pune,18.77,71.11,0.6,6.69
2020-01-21,Nagpur,23.14,69.97,0.67,22.93
2020-01-21,Nashik,20.9,61.4,0.52,21.9
2020-01-21,Aurangabad,19.42,69.58,1.18,16.44
2020-01-21,Solapur,21.33,78.41,2.0,21.97
2020-01-21,Kolhapur,21.55,55.94,0.02,19.69
2020-01-21,Amravati,22.03,77.04,0.83,17.07
2020-01-22,Mumbai,19.53,67.87,0.16,18.55
2020-01-22,Pune,17.79,61.3,0.2,7.4
2020-01-22,Nagpur,23.73,76.83,1.13,19.81
2020-01-22,Nashik,17.77,74.88,0.49,10.57
2020-01-22,Aurangabad,19.81,52.05,1.93,8.29
2020-01-22,Solapur,22.07,60.8,1.33,12.26
2020-01-22,Kolhapur,15.66,77.91,1.26,11.46
2020-01-22,Amravati,23.12,54.76,1.35,11.08
2020-01-23,Mumbai,17.8,61.35,0.9,13.64
2020-01-23,Pune,14.66,68.46,0.67,11.13
2020-01-23,Nagpur,21.08,67.74,1.91,10.77
2020-01-23,Nashik,19.11,60.53,1.28,20.4
2020-01-23,Aurangabad,20.01,62.93,0.37,6.25
2020-01-23,Solapur,25.51,52.58,0.49,6.22
2020-01-23,Kolhapur,19.19,55.89,1.96,6.59
2020-01-23,Amravati,20.83,61.26,1.54,16.78
2020-01-24,Mumbai,20.61,74.79,1.52,17.98
2020-01-24,Pune,17.38,76.5,1.02,23.12
2020-01-24,Nagpur,24.3,72.97,0.44,8.45
2020-01-24,Nashik,17.2,63.91,0.82,9.2
2020-01-24,Aurangabad,21.15,55.9,1.21,12.08
2020-01-24,Solapur,20.45,64.28,1.53,24.71
2020-01-24,Kolhapur,18.1,52.56,0.31,21.2
2020-01-24,Amravati,22.66,65.62,0.8,19.01
2020-01-25,Mumbai,22.17,70.8,1.62,10.59
2020-01-25,Pune,18.02,72.25,0.02,19.05
2020-01-25,Nagpur,22.33,77.54,1.27,21.67
2020-01-25,Nashik,20.98,64.07,0.34,22.93
2020-01-25,Aurangabad,20.0,75.13,1.88,17.83
2020-01-25,Solapur,23.99,58.8,1.23,8.85
2020-01-25,Kolhapur,20.56,68.87,0.27,9.75
2020-01-25,Amravati,21.21,64.44,1.28,19.08
2020-01-26,Mumbai,19.68,51.23,0.39,8.61
2020-01-26,Pune,15.3,71.72,0.6,15.7
2020-01-26,Nagpur,19.13,69.23,0.46,15.88
2020-01-26,Nashik,18.66,50.25,0.87,22.79
2020-01-26,Aurangabad,24.3,64.12,0.24,15.19
2020-01-26,Solapur,22.06,62.19,1.68,10.76
2020-01-26,Kolhapur,16.7,76.93,1.11,20.69
2020-01-26,Amravati,20.3,60.09,0.23,20.46
2020-01-27,Mumbai,21.04,67.3,0.1,10.97
2020-01-27,Pune,18.27,78.79,1.98,13.17
2020-01-27,Nagpur,27.49,62.76,1.01,14.58
2020-01-27,Nashik,16.39,66.52,1.64,15.87
2020-01-27,Aurangabad,21.68,57.55,0.67,10.71
2020-01-27,Solapur,26.88,75.12,1.08,11.84
2020-01-27,Kolhapur,16.76,56.79,1.31,23.53
2020-01-27,Amravati,21.12,75.02,0.56,13.48
2020-01-28,Mumbai,19.63,76.11,1.86,23.64
2020-01-28,Pune,17.79,78.93,1.95,14.34
2020-01-28,Nagpur,22.92,59.45,1.07,22.52
2020-01-28,Nashik,18.48,79.72,1.3,21.34
2020-01-28,Aurangabad,18.98,50.65,0.67,10.62
2020-01-28,Solapur,21.0,78.32,0.92,18.74
2020-01-28,Kolhapur,16.85,61.36,0.22,23.84
2020-01-28,Amravati,19.18,59.9,1.11,13.51
2020-01-29,Mumbai,18.15,64.92,1.43,13.25
2020-01-29,Pune,17.18,68.01,0.12,14.62
2020-01-29,Nagpur,21.56,61.97,0.36,22.64
2020-01-29,Nashik,17.67,66.44,1.18,24.65
2020-01-29,Aurangabad,21.4,71.96,1.0,16.64
2020-01-29,Solapur,26.2,58.18,0.59,16.6
2020-01-29,Kolhapur,15.85,65.95,1.73,22.55
2020-01-29,Amravati,20.37,63.67,0.24,17.45
2020-01-30,Mumbai,19.17,64.95,0.15,21.69
2020-01-30,Pune,20.25,50.34,1.83,13.65
2020-01-30,Nagpur,25.35,75.13,1.82,23.39
2020-01-30,Nashik,17.42,62.48,1.17,24.91
2020-01-30,Aurangabad,22.4,58.74,1.46,12.76
2020-01-30,Solapur,23.59,71.4,0.06,7.33
2020-01-30,Kolhapur,17.31,68.38,1.19,19.75
2020-01-30,Amravati,21.59,64.61,0.01,9.42
2020-01-31,Mumbai,15.55,64.12,0.68,17.13
2020-01-31,Pune,15.61,66.63,1.79,24.12
2020-01-31,Nagpur,21.91,60.9,1.15,8.96
2020-01-31,Nashik,16.87,67.16,0.43,19.5
2020-01-31,Aurangabad,19.65,68.59,0.62,17.45
2020-01-31,Solapur,23.52,56.93,1.46,10.27
2020-01-31,Kolhapur,17.18,62.01,0.13,15.88
2020-01-31,Amravati,21.23,65.4,1.15,9.03
2020-02-01,Mumbai,20.88,71.51,0.6,10.0
2020-02-01,Pune,18.34,52.5,0.06,23.93
2020-02-01,Nagpur,21.76,56.49,0.0,8.77
2020-02-01,Nashik,18.73,76.88,0.8,6.59
2020-02-01,Aurangabad,21.05,78.66,0.51,23.62
2020-02-01,Solapur,19.88,75.72,0.26,6.63
2020-02-01,Kolhapur,17.35,54.05,0.83,18.27
2020-02-01,Amravati,19.93,60.99,1.69,12.53
2020-02-02,Mumbai,22.11,75.31,1.84,15.77
2020-02-02,Pune,18.19,59.8,1.73,5.35
2020-02-02,Nagpur,21.88,59.99,0.32,22.84
2020-02-02,Nashik,19.92,56.16,0.49,17.55
2020-02-02,Aurangabad,18.81,57.27,1.83,23.84
2020-02-02,Solapur,24.88,65.1,0.86,12.38
2020-02-02,Kolhapur,17.44,67.36,1.0,20.96
2020-02-02,Amravati,21.66,52.86,0.96,17.38
2020-02-03,Mumbai,19.38,60.84,0.5,14.09
2020-02-03,Pune,21.92,51.42,0.01,14.49
2020-02-03,Nagpur,26.28,71.77,0.91,15.67
2020-02-03,Nashik,20.16,57.59,1.39,13.71
2020-02-03,Aurangabad,20.43,79.39,1.62,15.74
2020-02-03,Solapur,26.64,62.03,0.25,20.69
2020-02-03,Kolhapur,18.69,70.68,1.36,8.38
2020-02-03,Amravati,24.76,65.11,0.46,21.86
2020-02-04,Mumbai,21.51,66.01,0.14,6.38
2020-02-04,Pune,19.97,54.85,0.42,16.95
2020-02-04,Nagpur,21.66,51.92,0.93,24.12
2020-02-04,Nashik,18.92,71.36,0.22,5.0
2020-02-04,Aurangabad,22.01,66.72,1.76,22.64
2020-02-04,Solapur,20.66,74.99,0.69,14.77
2020-02-04,Kolhapur,15.33,76.34,1.04,21.72
2020-02-04,Amravati,20.24,59.43,2.0,18.4
2020-02-05,Mumbai,20.84,50.18,1.13,18.51
2020-02-05,Pune,21.88,69.14,0.21,14.86
2020-02-05,Nagpur,19.97,63.94,1.0,14.99
2020-02-05,Nashik,20.74,75.69,1.63,13.51
2020-02-05,Aurangabad,21.53,72.26,0.45,11.72
2020-02-05,Solapur,22.52,64.37,0.09,23.04
2020-02-05,Kolhapur,16.39,71.87,0.51,15.78
2020-02-05,Amravati,23.95,74.0,1.31,12.6
2020-02-06,Mumbai,15.0,55.81,0.29,15.38
2020-02-06,Pune,20.29,75.11,1.43,5.84
2020-02-06,Nagpur,23.56,65.51,1.78,16.16
2020-02-06,Nashik,18.94,69.78,0.08,16.58
2020-02-06,Aurangabad,21.38,75.44,1.29,9.01
2020-02-06,Solapur,26.68,50.28,0.35,7.26
2020-02-06,Kolhapur,20.7,68.11,1.03,23.01
2020-02-06,Amravati,17.62,54.86,1.77,9.65
2020-02-07,Mumbai,21.17,73.69,1.27,6.09
2020-02-07,Pune,16.39,61.37,1.07,13.3
2020-02-07,Nagpur,24.28,79.3,0.26,17.22
2020-02-07,Nashik,17.48,76.63,0.57,10.41
2020-02-07,Aurangabad,19.8,77.37,0.86,21.52
2020-02-07,Solapur,24.01,77.64,0.73,17.78
2020-02-07,Kolhapur,18.06,55.69,1.24,12.34
2020-02-07,Amravati,21.95,61.39,1.79,18.21
2020-02-08,Mumbai,20.09,61.75,0.49,8.02
2020-02-08,Pune,17.25,58.0,0.75,14.75
2020-02-08,Nagpur,20.24,74.81,1.36,20.08
2020-02-08,Nashik,19.31,67.38,0.55,7.89
2020-02-08,Aurangabad,22.35,68.23,0.22,24.53
2020-02-08,Solapur,21.3,59.73,0.35,12.05
2020-02-08,Kolhapur,21.81,50.83,0.83,15.46
2020-02-08,Amravati,19.0,77.85,1.38,7.36
2020-02-09,Mumbai,21.17,67.3,0.23,11.12
2020-02-09,Pune,16.37,68.34,1.85,23.22
2020-02-09,Nagpur,25.13,60.28,1.68,19.43
2020-02-09,Nashik,20.7,50.59,0.8,18.8
2020-02-09,Aurangabad,22.25,64.81,1.42,21.53
2020-02-09,Solapur,19.5,76.78,0.49,22.39
2020-02-09,Kolhapur,21.43,52.25,0.97,21.22
2020-02-09,Amravati,23.13,51.06,1.8,15.02
2020-02-10,Mumbai,18.81,54.13,1.06,18.11
2020-02-10,Pune,20.84,60.78,0.06,9.38
2020-02-10,Nagpur,23.29,63.06,1.96,14.66
2020-02-10,Nashik,17.52,69.56,0.99,11.31
2020-02-10,Aurangabad,20.95,58.73,0.75,17.3
2020-02-10,Solapur,23.96,79.68,0.24,13.08
2020-02-10,Kolhapur,20.83,79.99,1.48,15.76
2020-02-10,Amravati,21.54,63.95,0.46,18.29
2020-02-11,Mumbai,20.78,59.56,0.03,6.62
2020-02-11,Pune,18.46,54.39,1.64,18.94
2020-02-11,Nagpur,25.41,50.06,1.49,16.54
2020-02-11,Nashik,17.44,64.87,0.18,21.99
2020-02-11,Aurangabad,22.14,52.62,0.15,6.65
2020-02-11,Solapur,22.87,62.39,0.51,7.82
2020-02-11,Kolhapur,16.18,72.42,0.97,6.33
2020-02-11,Amravati,22.79,70.71,1.7,21.27
2020-02-12,Mumbai,20.05,57.5,1.94,7.88
2020-02-12,Pune,18.71,53.8,1.52,10.12
2020-02-12,Nagpur,20.91,73.01,0.5,19.55
2020-02-12,Nashik,20.04,65.64,0.23,14.09
2020-02-12,Aurangabad,17.31,53.96,1.43,20.77
2020-02-12,Solapur,22.77,52.86,0.21,8.36
2020-02-12,Kolhapur,14.54,75.94,1.92,22.16
2020-02-12,Amravati,20.79,62.92,0.18,22.66
2020-02-13,Mumbai,19.98,56.27,1.8,17.07
2020-02-13,Pune,15.4,56.56,0.77,9.58
2020-02-13,Nagpur,22.19,76.7,0.84,20.38
2020-02-13,Nashik,17.95,60.46,0.09,14.47
2020-02-13,Aurangabad,16.32,56.21,0.09,11.18
2020-02-13,Solapur,25.45,72.81,0.02,21.05
2020-02-13,Kolhapur,19.31,78.83,1.99,14.57
2020-02-13,Amravati,21.08,56.76,0.89,18.19
2020-02-14,Mumbai,21.62,62.86,1.9,7.9
2020-02-14,Pune,16.41,63.25,1.66,11.98
2020-02-14,Nagpur,19.4,53.96,2.0,17.16
2020-02-14,Nashik,21.38,73.7,1.62,8.62
2020-02-14,Aurangabad,19.21,74.58,0.76,13.7
2020-02-14,Solapur,22.27,72.26,1.92,6.29
2020-02-14,Kolhapur,19.42,56.89,0.6,8.48
2020-02-14,Amravati,21.86,51.98,0.28,21.4
2020-02-15,Mumbai,18.69,57.19,0.23,11.69
2020-02-15,Pune,17.37,61.6,1.45,23.69
2020-02-15,Nagpur,18.89,64.35,0.93,8.17
2020-02-15,Nashik,19.49,50.54,1.17,9.87
2020-02-15,Aurangabad,21.7,56.17,0.61,6.06
2020-02-15,Solapur,21.67,63.13,0.47,17.22
2020-02-15,Kolhapur,19.21,72.92,0.44,14.5
2020-02-15,Amravati,23.62,63.1,1.76,12.45
2020-02-16,Mumbai,18.95,60.69,1.01,24.45
2020-02-16,Pune,16.03,55.88,1.75,15.8
2020-02-16,Nagpur,21.13,59.66,1.26,14.09
2020-02-16,Nashik,20.35,52.21,1.23,22.16
2020-02-16,Aurangabad,22.66,54.9,1.68,19.78
2020-02-16,Solapur,24.33,76.47,0.74,11.42
2020-02-16,Kolhapur,19.37,78.93,0.62,8.82
2020-02-16,Amravati,21.74,78.22,0.78,5.45
2020-02-17,Mumbai,16.71,70.19,0.98,19.94
2020-02-17,Pune,20.01,59.51,0.67,23.69
2020-02-17,Nagpur,18.51,64.52,1.04,19.5
2020-02-17,Nashik,21.65,59.65,1.13,17.36
2020-02-17,Aurangabad,20.03,65.64,1.89,16.19
2020-02-17,Solapur,24.78,62.54,0.06,8.87
2020-02-17,Kolhapur,18.31,63.35,0.29,15.69
2020-02-17,Amravati,21.75,77.94,0.65,7.42
2020-02-18,Mumbai,18.57,55.85,0.18,21.76
2020-02-18,Pune,21.65,69.02,1.62,17.21
2020-02-18,Nagpur,21.73,51.06,0.86,10.48
2020-02-18,Nashik,19.7,66.3,0.39,6.0
2020-02-18,Aurangabad,21.74,76.93,1.24,17.15
2020-02-18,Solapur,20.99,68.58,1.92,16.73
2020-02-18,Kolhapur,17.77,62.86,0.87,15.69
2020-02-18,Amravati,23.19,56.74,1.48,10.52
2020-02-19,Mumbai,20.37,66.74,1.76,15.94
2020-02-19,Pune,16.93,67.85,0.7,12.07
2020-02-19,Nagpur,22.35,57.04,0.4,8.22
2020-02-19,Nashik,19.25,55.51,1.42,10.69
2020-02-19,Aurangabad,22.32,54.02,0.37,9.01
2020-02-19,Solapur,24.79,70.21,1.91,22.21
2020-02-19,Kolhapur,18.5,68.22,0.58,12.23
2020-02-19,Amravati,18.53,70.1,0.32,17.39
2020-02-20,Mumbai,19.04,73.78,0.28,19.81
2020-02-20,Pune,15.72,62.69,1.31,17.96
2020-02-20,Nagpur,26.68,71.9,1.75,21.8
2020-02-20,Nashik,19.6,72.15,1.78,5.92
2020-02-20,Aurangabad,17.74,58.5,0.27,7.25
2020-02-20,Solapur,21.04,54.07,0.27,20.9
2020-02-20,Kolhapur,19.77,64.55,0.78,21.84
2020-02-20,Amravati,20.66,76.51,0.58,20.63
2020-02-21,Mumbai,19.8,71.57,0.01,12.51
2020-02-21,Pune,20.24,62.73,1.59,20.32
2020-02-21,Nagpur,22.84,61.07,0.65,5.2
2020-02-21,Nashik,17.59,52.68,1.76,9.66
2020-02-21,Aurangabad,21.14,54.88,1.45,16.1
2020-02-21,Solapur,22.89,65.31,0.39,23.57
2020-02-21,Kolhapur,18.06,69.21,0.43,8.97
2020-02-21,Amravati,20.27,68.66,1.02,16.04
2020-02-22,Mumbai,23.08,53.41,0.48,22.19
2020-02-22,Pune,15.27,68.63,1.49,12.09
2020-02-22,Nagpur,19.71,77.76,1.01,10.96
2020-02-22,Nashik,20.82,73.7,0.42,18.07
2020-02-22,Aurangabad,20.17,75.99,0.93,18.63
2020-02-22,Solapur,25.92,65.34,1.31,11.86
2020-02-22,Kolhapur,19.61,77.9,1.84,24.36
2020-02-22,Amravati,21.7,70.53,0.16,7.49
2020-02-23,Mumbai,19.25,74.57,0.25,24.73
2020-02-23,Pune,20.18,55.51,0.98,8.28
2020-02-23,Nagpur,20.48,76.87,1.88,11.2
2020-02-23,Nashik,17.82,74.38,0.62,5.05
2020-02-23,Aurangabad,22.6,61.31,0.76,19.36
2020-02-23,Solapur,22.5,67.52,1.28,13.12
2020-02-23,Kolhapur,15.23,65.6,1.52,15.75
2020-02-23,Amravati,22.35,74.64,0.44,7.73
2020-02-24,Mumbai,23.18,61.28,1.63,24.66
2020-02-24,Pune,20.22,73.67,0.47,7.44
2020-02-24,Nagpur,22.92,55.7,0.35,10.67
2020-02-24,Nashik,20.61,73.78,0.07,8.78
2020-02-24,Aurangabad,19.15,56.42,1.77,16.87
2020-02-24,Solapur,18.02,79.68,0.3,8.46
2020-02-24,Kolhapur,19.74,76.05,0.63,7.97
2020-02-24,Amravati,22.51,59.36,1.25,15.47
2020-02-25,Mumbai,21.12,55.16,1.76,10.02
2020-02-25,Pune,16.91,76.91,1.64,22.93
2020-02-25,Nagpur,15.94,79.55,1.13,15.31
2020-02-25,Nashik,18.82,51.34,1.76,13.43
2020-02-25,Aurangabad,19.27,69.41,0.96,21.45
2020-02-25,Solapur,23.74,53.44,1.04,5.83
2020-02-25,Kolhapur,19.08,67.74,0.78,23.57
2020-02-25,Amravati,18.67,62.28,0.5,15.71
2020-02-26,Mumbai,16.93,72.68,1.57,11.71
2020-02-26,Pune,15.07,78.32,1.27,7.85
2020-02-26,Nagpur,20.65,77.39,1.17,8.42
2020-02-26,Nashik,18.63,54.25,1.54,6.32
2020-02-26,Aurangabad,18.79,60.46,0.53,18.19
2020-02-26,Solapur,24.36,65.5,1.15,14.65
2020-02-26,Kolhapur,18.13,71.76,0.48,20.73
2020-02-26,Amravati,23.88,54.42,1.85,14.13
2020-02-27,Mumbai,17.13,59.2,1.88,8.83
2020-02-27,Pune,21.03,69.93,0.64,19.46
2020-02-27,Nagpur,20.11,67.93,1.81,6.11
2020-02-27,Nashik,19.14,66.45,1.26,11.14
2020-02-27,Aurangabad,21.69,72.4,0.06,7.43
2020-02-27,Solapur,22.71,62.19,1.84,5.71
2020-02-27,Kolhapur,17.4,65.0,1.05,15.98
2020-02-27,Amravati,23.2,51.42,0.63,15.28
2020-02-28,Mumbai,18.97,52.74,0.89,23.3
2020-02-28,Pune,17.48,74.29,1.95,16.6
2020-02-28,Nagpur,23.73,74.25,1.75,14.29
2020-02-28,Nashik,22.68,57.43,1.35,15.28
2020-02-28,Aurangabad,22.74,72.98,1.03,20.28
2020-02-28,Solapur,22.45,63.66,1.61,16.86
2020-02-28,Kolhapur,17.92,75.8,1.44,15.68
2020-02-28,Amravati,24.34,56.02,1.14,20.9
2020-02-29,Mumbai,18.65,66.98,1.12,20.97
2020-02-29,Pune,17.67,76.63,1.82,9.56
2020-02-29,Nagpur,23.06,52.63,0.44,22.39
2020-02-29,Nashik,21.4,60.45,1.17,22.79
2020-02-29,Aurangabad,19.57,71.34,0.11,24.98
2020-02-29,Solapur,22.94,73.84,1.42,23.97
2020-02-29,Kolhapur,16.17,59.48,0.77,12.54
2020-02-29,Amravati,22.35,70.39,0.26,15.18
2020-03-01,Mumbai,31.37,43.86,4.32,22.63
2020-03-01,Pune,34.93,54.77,2.19,14.36
2020-03-01,Nagpur,39.91,43.14,1.66,13.83
2020-03-01,Nashik,31.25,57.21,2.36,22.93
2020-03-01,Aurangabad,43.37,50.06,3.36,18.15
2020-03-01,Solapur,43.42,45.54,3.7,6.23
